question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
A measure of location which divides the distribution the ratio of 3:1 is:,,3,Median,First quartile,Third quartile,Mode,Dental,,68dbef49-f5dd-4ac7-9e00-4afd8d357f70,single,Third quartile,Quartile,First quartile
Rearrange the sequence of hand washing: a. b. c. d.,,1,"a,c,d,b","b,c,a,d","d,a,c,b","c,a,b,d",Surgery,AIIMS 2019,ba4749e2-e5f5-4a98-8663-2b703e280c6c,single,"a,c,d,b",b-a-c-d,b. a. d. c.
A patient presents to your clinic for evaluation of defective hearing. Rinne's test shows air conduction greater than the bone conduction on both sides with Weber test lateralized to right ear. What is the next logical step?,"Ans: B. Schwabach's test(Ref Dhingra 7/e p23, 5/e p25-27)Lateralization of Weber's test to right implies either right-sided conductive deafness or left sided sensorineural deafness.Now in conductive deafness bone conduction is better than air conduction in Rinnie's test, hence the patient probably has sensorineural deafness involving the left ear, as per the findings of Rinnie's and Weber tests.In such a case, Schwabach's test should be performed to see the absolute bone.",2,Normal test,Schwabach's test,Repeat Rinne's test on right side,Wax removal,ENT,,d8b1befc-377a-4e40-aef2-3bca58710670,multi,Schwabach's test,Schwabach's test,Refer for audiometry.
Phenol red thread test is used for dry eye:,"Ans: A. In the test, volume of tears is measured as it changes color on contact with tears(Ref: Yanoff & Duker 4/e p277)Phenol red dye test measures the production of tears without topical anesthesia, as the dye changes its color to red on contact with tears.It doesn't require pH ureter for reading the result.Phenol red is a pH indicator used in cell biopsy as it changes colour from yellow to red on pH range from 6.8 to 8.2.Used to measure residual tears in inferior conjunctival sac, especially in dry eye patients.",1,"In the test, volume of tears is measured as it changes color on contact with tears","If the color changes to blue, it depicts surface mucin deficiency",Requires pH meter for reading the result,Requires topical anesthetic agent,Ophthalmology,,eaa33fd8-64a3-47a0-b13c-2b49a1f0e37f,single,"In the test, volume of tears is measured as it changes color on contact with tears","In the test, volume of tears is measured as it changes color on contact with tears",True
Specific plaque hypothesis state that,,4,All plaque is pathogenic,Only specific micro-organisms are responsible for pathogenicity of plaque,Only specific microbes cause caries,Plaque is pathogenic only when signs of associated disease are present,Dental,,a8ac17a8-7d55-4708-a9d9-fb7b1c05fe1f,multi,Plaque is pathogenic only when signs of associated disease are present,Plaque is the primary cause of atherosclerosis,certain bacteria cause specific oral diseases.
Organism which causes bacterial endocarditis:,,3,Lacto bacillus,Streptococcus sanguis,Streptococcus viridans,Streptococcus pyogenes,Medicine,,07de25a2-48ee-4f13-883f-78f9f34656fc,single,Streptococcus viridans,Staphylococcus aureus,Streptococcus viridans
Which of the following alloys has the highest surface roughness?,"The surface of NiTi is rougher (because of surface defects, not the quality of polishing) than that of beta-Ti, which in turn is rougher than steel.
However, there is little or no correlation for orthodontic wires between the coefficients of friction and surface roughness. (i.e., interlocking and plowing are not significant components of the total frictional resistance).

Ref: Profitt 4th edition page 378",3,Stainless steel,Elgiloy,NiTi,TMA,Dental,,2556604f-14dc-456a-aafb-41416638fd16,multi,NiTi,NiTi,Cast iron.
An infant presented with the following lesions on his face and limbs. Which of the following is the most likely causative organism?,"Hand foot and mouth disease can be caused by Coxsackie virus A16, Coxsackie virus B and Enterovirus 71. It is characterized by oral and pharyngeal ulcerations and vesicular rashes of the palms and soles which heal without crusting.",3,HSV,HPV,Coxsackie,CMV,Microbiology,AIIMS 2017,176fbf9b-b17d-4a54-9e1e-e3a312424349,single,Coxsackie,Coxsackie virus A16,Impetigo caused by Staphylococcus aureus.
Which of the following cannot be diagnosed without positive ANA?,Repeated negative testing for ANA indicates least chances of having SLE. ANA is positive in 98% of patients with SLE Limited form of scleroderma known as CREST has anti centromere antibody positive and generalized form has anti topoisomerase positive antibody Anti histone antibodies are positive in drug induced lupus Anti SS-A (RO) antibodies and anti SS-B(LA) antibodies are positive in Sjogren's Syndrome,2,Drug induced lupus,SLE,Sjogren syndrome,Scleroderma,Pathology,AIIMS 2018,bccac3f6-359f-4795-93a7-1b32d014bce0,single,SLE,SLE,Systemic lupus erythematosus (SLE)
Lesions of oral tuberculosis are associated with all the following except:,,2,Central caseation,Hyaline degeneration,Giant cells in the center,Presence of epithelioid cells,Pathology,,2dea3df1-9183-4646-beb5-dd5604fde134,multi,Hyaline degeneration,Nan,Pain.
Which of the following statement is true as far as spring back bending of super-elastic NiTi and non-super elastic NiTI wires is concern?,"Springback—The amount of elastic strain that a metal can recover when loaded to and unloaded from its yield strength; an important property of orthodontic wires.
Reference: Phillips 12th ed page no 396",1,Spring back in bending is much greater for superelastic NiTi wires than non-superelastic NiTi,Spring back in bending is much lesser for superelastic NiTi wires than non-superelastic,Spring back in bending is same for superelastic Nill wires as well as non-superelastic NiTi wires,No comparison can be made between the spring back in bending of these two wires,Dental,,f9bbeea9-85b5-48b9-ad6b-ed9466581c8a,multi,Spring back in bending is much greater for superelastic NiTi wires than non-superelastic NiTi,Springback is more in super-elastic NiTi wires than non-super elastic NiTi wires,Super-elastic NiTi shows less spring back than non-super elastic NiTi.
Intra-epithelial bulla are found in,,1,Pemphigus,Bullous pemphigoid,Bullous Lichen planus,Pemphigoid,Pathology,,3645e915-e8a7-44fe-8cad-734ce6b71063,single,Pemphigus,Pemphigus,Pemphigus Vulgaris
Kraissl's lines arc:,"Answer- D. Relaxed tension lines in skinKraissl's lines are essentially exaggerated wrinkle lines obtained by studying the loose skin of elderly faces whilst contracting the muscles of facial expression These lines for the most pa correspond to Relaxed skin tension lines (RSTLs), but slight variation exists on the face, especially on the lateral side of the nose, the lateral aspect of the orbit, and the chin.",4,Collagen and elastin lines in stab wounds,Point of maximum tension in a fracture,Point of tension in hanging,Relaxed tension lines in skin,Surgery,,1e9be6b2-83f1-44ff-8491-077a14501d6e,single,Relaxed tension lines in skin,Relaxed tension lines in skin,Stress-induced skin lines.
A surgeon decides to operate a patient of carcinoma cecum and perform a right hemicolectomy through a midline laparotomy approach. You have been instructed to prepare the pas of the patient for surgery. What will you do?,"Ans: A. Clean and drape from the level of nipple to mid-thighArea of Cleaning & Draping in SurgeriesCranial surgeryDepends upon surgeonThyroid or neck surgeryChin to nipple with shoulder & axilladegEye surgeryCut eyelashes of affected eyeNasal surgeryNo shaving unless with mustacheEar surgeryTwo & half inches around eardegChest surgeryBase of neck to waist, axilla & inner armdegAbdominal & pelvic surgeryBase of neck to waist, axilla & inner armdegKidney-anteriorNipple to perineum, side to side; supra scapular region to buttocksVaginal, scrotal, rectal surgeryWaist to perineum plus anterior & inner aspect of thigh & 6 inches from groin; posterior?entire buttocks & anusdegLower extremitiesDigits 2 inches above knee, entire extremity and groindegUpper extremitiesDistal arm 2 inches above elbow, elbow up to axilladeg",1,Clean and drape from the level of nipple to mid-thigh,Clean and drape from chin to knee,Clean and drape from umbilicus to mid-thigh,Clean and drape from rib cage to inguinal regions,Surgery,,36b43626-f928-486f-b724-abecea127f62,single,Clean and drape from the level of nipple to mid-thigh,Clean and drape from the level of nipple to mid-thigh,"Shave, clean, and disinfect the abdominal area."
"Human Developmental Index is a composite measure, which uses?","Ans: D. Life expectancy at bih, knowledge and decent standard of living.(Ref Park 24/e p17, 23/e p17)Human Development Index (HDI):Published on 4 November 2010.Updated on 10 June 2011.Composite statistic of life expectancy, education & income indices.Used to rank countries into 4 tiers of human development. 2010 HDI Repo:Combines three dimensions:A long & healthy life: Life expectancy at bih.Education index: Mean years of schooling and Expected years of schooling.A decent standard of living: GNI per capita (PPP US$).",4,"Life expectancy at age one, literacy and infant moality","Freedom, spice and right to express oneself","Life expectancy at bih, infant moality and quality of life","Life expectancy at bih, knowledge and decent standard of living.",Social & Preventive Medicine,,bbb8ca0b-54ed-4f08-a87d-8eef087e37f1,single,"Life expectancy at bih, knowledge and decent standard of living.","Life expectancy at bih, knowledge and decent standard of living","Life expectancy, education, and income."
NESTROFT test is a screening test for –,"NESTROFT ( Naked Eye Single Tube Red Cell Osmotic Fragility Test) is a screening test for detection of beta thalassemia trait.

Thalassemia screening

Widespead prevlence of thalessemia has led to a pressing demand for community, screening.
Various methods for screening of thalassemia trait are available which include peripheral smear examination, RBC indices, 1VIeintzer's fraction, discriminant functions, NESTROFT etc.
NESTROFT TEST is used in many centres in India for screening of thalassemia trait.
If mother is NESTROFT positive, the confirmatory test for HbA2 is done for mother and the father is subjected to screening by NESTROFT. If father is also NESTROFT positive, confirmatory test for HbA2 is done for father.
If both the parents have thalessemia trait, there is 1:4 chance of fetus having thalassemia major.
Therefore, prenatal diagnosis is done by chorionic villus sampling (CVS) in first trimester.
If CVS confirms the fetus to be having thalasemia major, termination of pregnancy is indicated after counseling the parents.
If the fetus has thalassemia minor (trait) pregnancy is continued as such and baby will have normal lifespan.
It is worth noting here that a positive NESTROFT test is seen in other conditions beside beta thalassemia trait. These are iron deficiency anemia, alpha thalassemia trait, homozygous and heterozygous HbE, HbS as well as hereditary persistence of fetal hemoglobin.

Therefore, a positive NESTROFT test should always be followed by a confirmatory test for HBA2 ( eg. serum electrophoresis).",1,β–thalassemia,Hereditary spherocytosis,Autoimmune hemolytic anemia,Megaloblastic anemia,Pediatrics,,0c4f5b5b-25ec-459f-9872-a01bc925f211,single,β–thalassemia,Beta thalassemia trait,Thalassemia
Difference between the size of the cranium and the cephalogram is:,,3,No difference,5% reduction,5% enlargement,10% enlargement,Dental,,775d389d-8a07-4e40-bfd4-3e49674ee0e7,single,5% enlargement,Nan,"Cranium size refers to the physical dimensions of the skull, while a cephalogram is an X-ray image of the head."
Which amino acid does not include post translational modification?,"Selenocysteine (21st amino acid) & Pyrrolysine (22nd amino acid) Formed by co-translational modification Not by post-translational modifications. Selenocysteine and Pyrrolysine 21st amino acid-Selenocysteine- UGA 22nd amino acid - Pyrrolysine - UAG Both UGA, UAG are stop codon but co-translational modification can give rise to amino acid selenocysteine and pyrrolysine. co-translational modification. Enzymes that use selenocysteine as their active sites are called Seleno Proteins. Selenocysteine containing proteins: Glutathione peroxidase Thioredoxin reductase selenoprotein P 5' deiodinases",1,Selenocystiene,Triiodothyronine,Hydroxy-proline,Hydroxy-lysine,Biochemistry,AIIMS 2017,b69b1f70-e671-41d6-9f11-a788d34498db,single,Selenocystiene,Selenocysteine,Glycine
A politician is shot in the back during a rally at level of T8 veebral immediately after the shot he loses all the sensation below level of lesion. Chance of regeneration of spinal cord due to the fact that injured nerve is not able to regenerate is due to reason all except:,"Ans. d. Lack of myelin inhibiting substance(Ref GanonGr 90; Clinical Box 4-)Following CNS injuries several events which provide inappropriate environment for regeneration are: (Ganong 23/e p90) Astrocytic proliferation)Activation of microgliaScar formationInflammationInvasion of immune cellsCNS neurons do not have the growth promoting chemical needed for the regenerationCNS myelin is a potent inhibitor of axonal growthAxon Regeneration in CNSThe proximal stump of a damaged axon in the CNS will form sho sprouts, but distant stump recovery is rare, and the damaged axons are unlikely to form new synapses. This is because:CNS neurons do not have the growth promoting chemical needed for the regenerationCNS myelin is a potent inhibitor of axonal growth.That is why treatment of brain and spinal cord injuries frequently focuses on rehabilitation rather than reversing the nerve damage. Following CNS injuries, several events which provide inappropriate environment for regeneration are:Astrocytic proliferationActivation of microgliaformationInflammationInvasion of immune cellsNew research is aiming to identify ways to initiate and maintain axonal growth, to direct regenerating axons to reconnect with their target neurons and to reconstitute original neuronal circuit.",4,Lack of endoneural tubes,Lack of growth factors,Presence of glial scar,Lack of myelin inhibiting substance,Physiology,,1a9cdc6b-3c9c-44a2-95d1-68461bf113fc,multi,Lack of myelin inhibiting substance,Lack of myelin inhibiting substance,Presence of inhibitory molecules in the myelin.
Enzyme that catalyses the transfer of a molecule group from one molecule to another is:,,3,Oxidases,Oxidases,Transferases,Lipases,Biochemistry,,ad581666-9c58-4d4a-a9df-8c4743715a53,single,Transferases,Transaminase,Transferase
Bacteria are populated most commonly on,,3,Buccal surface,Lingual surface,Interproximal surface,Occlusal surface,Dental,,68959730-36e4-462f-9827-92a56492b645,single,Interproximal surface,Nan,human skin and gut.
"Stretch fibers are present in striated muscle, innervation is carried by",,4,A delta fiber,C fiber,unmyelinated fiber,Gamma fiber,Physiology,,66d7e017-f2f8-4325-8333-07c45a2fa0e7,single,Gamma fiber,Nan,motor neurons.
"Which film is used for caries detection? (or) Which film
is used for caries detection in children?",,4,D speed,E speed,B speed,F speed,Radiology,,f6bd6944-8c47-4037-8871-10855371a4c2,single,F speed,Nan,Bitewing film.
Sending the parents outside the operatory and threatening the child that they won't be back until he stops crying-is an example of which of the following behavior management techniques:,,1,Omission,Negative reinforcement,Positive reinforcement,Modelling,Dental,,b7507844-7679-49f9-a915-6a242af404d9,single,Omission,Nan,Negative reinforcement.
Black deposits on conjunctiva in a patient with glaucoma are seen with the use of:,"Ans: C. Epinephrine(Ref: Goodman Gilman 12/e p286, 326; Katzung 13/e p161, 12/e p160; The Cornea by Smolin and Thoft's/p504)Black deposits on conjunctiva in a patient with glaucoma are seen with use of epinephrine. Latanoprost is associated with iris hyperpigmentation.Epinephrine is unstable in alkaline solution; when exposed to air or light, it turns pink from oxidation to adrenochrome and then brown from formation of polymers.",3,Prostaglandins,Carbonic anhydrase inhibitors,Epinephrine,Beta blocker,Pharmacology,,17ca6005-346f-4f14-b1a3-430d3667d7f0,single,Epinephrine,Epinephrine,Epinephrine.
Which is responsible for adhesion of platelet on exposed collagen fibril after an injury,,1,Von willebrand factor,Factor 8,Factor 9,Fibronectin,Pathology,,c29d1c1e-6e29-44f7-8057-35ff7101d0df,single,Von willebrand factor,,Von Willebrand factor (vWF)
Transformation into osteosarcoma is seen with,,1,Pagets disease and polyostotic fibrous dysplasia,Pagets disease and osteopetrosis,Cherubism and polyostotic fibrous dyspLasia,Cherubism and polyostotic fibrous dyspLasia,Pathology,,8dd0ea2a-17d4-497d-93a1-a6704930a0db,single,Pagets disease and polyostotic fibrous dysplasia,Nan,Paget's disease of bone.
"Accessory canals are most numerous in apical third, which one is 2nd numerous in this regard","Apical third has accessory canals: 74% of cases
Coronal 3rd have accessory canals: 15% of cases
Middle third has accessory canals: 11% of cases",2,Middle Third,Coronal Third,Both are equal,None of the above,Dental,,2b368176-2ef0-4871-8ae4-b1daae990f34,multi,Coronal Third,Coronal third,Middle third
Injury to which of the following vessels is least likely to result in significant damage:,"Ans. c. Inferior mesenteric aeryInjury to inferior mesenteric aery is least likely to result in significant damage among the given options.Occlusion of the inferior mesenteric aery does not always result in irreversible ischaemia of the descending and sigmoid colon, because the marginal aery of the colon usually receives an adequate supply from the left branch of the middle colic aery.",3,Renal aery,Superior mesenteric aery,Inferior mesenteric aery,Celiac trunk,Surgery,,13ea1b71-7d4f-4dec-babf-485274305ed8,single,Inferior mesenteric aery,Inferior mesenteric aery,Capillaries.
A 65 year old edentulous patient is treated for squamous cell carcinoma involving 2/3rd of tongue with 50 Gy radiation dose. Which of the following material is best for making impression in this patient?,"The patient has undergone radiation therapy, which leads to xerostomia. Therefore, in this patient, hydrophilic impression material cannot be used. ZOE impression material is also contraindicated in this patient, since it can adhere to mucosa and leads to ulceration on removal.
So, among the options provided, only polysulfide is the best suitable impression material for these kind of patients.",1,Polysulfide,Polyether,ZOE,Irreversible hydrocolloids,Dental,,9f8d3d01-cb19-46e5-83d8-e8d33ae57020,single,Polysulfide,Polysulfide,Alginate
"Tooth develops from: (Or) Calcified structures of
oral cavity develops from",Most of skeletal and connective tissues with exception of enamel are derived from ectomesenchymal tissue. Enamel is derived from ectoderm only. Posterior part of oral cavity is formed from endoderm.,1,"Ectoderm, mesoderm",Ectoderm,Mesoderm,Ectoderm and endoderm,Dental,,a1e41d9c-2e03-4195-a5c9-73ee0ac1b8d1,single,"Ectoderm, mesoderm",Ectoderm,Ectoderm and mesoderm
"In a 5-year-old child with mandibular fracture, on a follow up recall after 2 months, what should be done to check the bone healing:","Clinically stable and symmetric bone, with a normal occlusion and a pain free chewing is indication enough for a completed bone healing in a child.",4,OPG at every 2 month till one year,NCCT,Single contrast CT,Clinical examination adequate,Surgery,,a94187fc-3135-4989-9cc3-e6d5bbce3044,multi,Clinical examination adequate,Clinical examination,Radiographic examination
Ciliocytophthoria caused by,"Answer- C. Viral infectionIt is well known that acute inflammation of the upper airways are caused mainly by viruses, even though after the viral infection a bacterial overlapped infection follows, paly ored by the cytopathic effect of the virus itself on the mucosa.",3,Kaagener syndrome,Fungal infection,Viral infection,Bacterial infection,Medicine,,655d0a62-bfc2-4ee9-a4c3-a40013303b4a,single,Viral infection,Viral infection,Viruses
The principal central action of caffeine is on the:,,1,Cerebral cortex,Corpus callosum,Hypothalamus,Spinal cord,Pharmacology,,c79bad3a-d97d-4d68-a696-79f136faf0d9,multi,Cerebral cortex,CNS,Brain
"In root fracture of the apical one-thrid of permanent
anterior teeth, the teeth usually",,2,Discolor rapidly,Remain in function and are vital,Undergo papal necrosis and become ankylosed,Are indicated for extraction and prosthetic replacement,Dental,,72be89e3-7ff0-486a-869f-30c9152486ed,multi,Remain in function and are vital,Exfoliate,remain vital.
Mode is,,1,Value that most frequently occurs in a set of observation,When observations are arranged in ascending or descending order the value that comes in the centre,Calculated by adding up the values of a group of items and dividing the sum by the number of items,Best measure for central tendency in a highly scented distribution,Dental,,9948bff9-4412-403e-a7b4-bf3af5229ed8,single,Value that most frequently occurs in a set of observation,Passive,Most frequent value
The base of an X-ray film is composed of:,,1,Polyester,Gelatin,Nylon,Bromide,Radiology,,71a97018-2620-4ead-8abe-20863683353d,single,Polyester,,Polyester.
Location of MB2 in maxillary first molar,,4,Distopalatal to MB1,Mesiobuccal to MB1,Distobuccal to MB1,Mesiopalatal to MB1,Dental,,f61e8ed7-4156-466d-a4eb-57ae2dedb0c8,single,Mesiopalatal to MB1,Distobuccal,Mesial to the MB1 canal
Which of the following abnormalities can be diagnosed in the I st trimester of pregnancy?,"Answer- A. Anencephaly""Anencephaly is diagnosed by the absence of cranial vault (calvarium) and telencephalon. Brain tissue is angiomatous.Early diagnosis is possible at aboat 13 weeks",1,Anencephaly,Encephalocele,Meningocele,Microcephaly,Gynaecology & Obstetrics,,901769b9-8f5f-48e3-869a-879c1d57ad93,single,Anencephaly,Anencephaly,Chromosomal abnormalities.
"A 50 years old female on junk food diet presented with point hemorrhages in scalp, bleeding in joints and erythemataous lesions in the skin. X-ray of knee joint was suggestive of hemahrosis. Problem lies with:","Answer- A. Hydroxylation of proline and lysineVitamin C is required for post-translational modification of lysine and proline in collagen synthesisHydroxyproline is formed by post-translational hydroxylation catalyzed by prolyl hydroxylase, whose cofactors are ascorbic acid and Keto- alpha glutarate.",1,Hydroxylation of proline and lysine,Carboxylation of glutamic acid,Carboxylation of coagulation factors,Platelet aggregation defect,Medicine,,288022ee-c8bd-42e6-8e0a-81838367119a,single,Hydroxylation of proline and lysine,Hydroxylation of proline and lysine,Vitamin C deficiency.
"In a 60 yr old hypertensive male with renal failure, renal biopsy shows onion skin appearance. The most likely diagnosis is",,3,Hyaline arteriosclerosis,Thrombophlebitis obliterans,Hyperplastic arteriosclerosis,Arteriosclerosis obliterans,Pathology,,4eef4a6b-af8e-4472-9caa-95c1f1a415c8,single,Hyperplastic arteriosclerosis,Nan,Hypertensive nephrosclerosis.
The inter-arch distance measured when the occlusal rims are in uniform contact is:,,2,Freeway space,Vertical dimension of occlusion,Vertical dimension of rest,Christensen's space,Dental,,c2370f77-cd2c-48e3-8b16-d0afe08d1a05,single,Vertical dimension of occlusion,Nan,Occlusal vertical dimension (OVD)
Which of the following is used by RBCs in the fasting state?,"Ans: A. GlucoseGlucose is used by RBCs in fasting state.OrganFedFastingStarvationBrainGlucoseGlucoseKetone bodiesHeaFatty Fatty acidsKetone bodiesLiverGlucoseFatty acidsAmino acidsMusclesGlucoseFatty acidsFatty acids & ketoneAdipose tissueGlucoseFatty acidsFatty acids & ketone RBCsGlucoseGlucose (Ref Harper 30/e p146, 150, 28/e p141).",1,Glucose,Alanine,Ketone body,Fatty acid,Biochemistry,,175da91c-e2bf-466d-9a4f-cd8a1b4003d2,single,Glucose,Glucose,Glycolysis
"A condition where there is loss of interdental bone on facial and lingual plate, without involvement of radicular bone is:","Reversed Architecture
Reverse (or negative) alveolar bone architecture is the result of a loss  of  interdental  bone,  without  a  concomitant  loss  of  radicular (buccal or lingual/palatal) bone, thereby reversing the normal (or positive)  architecture .  Negative  architecture  is  more common in the maxilla of patients with periodontitis.
Ledges
Ledges are plateau-like bone margins that are caused by the resorption of thickened bony plates .
Osseous Craters
Osseous craters are a specific type of two-wall defect; they present as concavities in the crest of the interdental bone that is confined within the facial and lingual walls. Craters have been found to make up about one-third (35.2%) of all defects and about two-thirds (62%) of all mandibular defects; they occur twice as often in posterior segments as in anterior segments.
Ref: Newman and Carranza’s Clinical Periodontology, thirteenth edition; page no 325",4,Ledge,Crater,Intrabony defect,Reverse architecture,Dental,,d061fd99-52bd-470b-a2c6-09b66b66cc8b,single,Reverse architecture,Reversed Architecture,Dehiscence
Till what age tetracycline should not be given to prevent discoloration,,2,3 year,8 year,12 year,18 year,Dental,,d671e7e4-0614-4b11-8be3-2f453b05e38f,single,8 year,8 years,8 years
A 50 year old tall thin smoker presents with dyspnoea and palpitations. ECG was done. Diagnosis:,"Question mentions - H/o smoker first thing that comes in mind is COPD & MC arrhythmia atrial fibrillation. We first see lead II on ECG RR approx. 1.5 and more towards left 2.5. HR=300/1.5=200/min Therefore, Patient suffers from tachycardia with variable RR interval. D/D Atrial fibrillation Multifocal atrial tachycardia P wave absent P wave present Variable RR interval Therefore ruled out P wave varying amplitual and answer is MAT. Trick to solve: First check if patient has tachycardia/bradycardia RR interval Narrow QRS suggests supraventricular tachycardia COPD is the reason for multifocal atrial tachycardia due to right ventricular strain causing RV enlargement causing right axis duration. Visible P wave variable amplitude RR interval changing Narrow QRS All point towards diagnosis of multifocal atrial tachycardia. Monomorphic VT is ruled out as it has broad QRS complex. Between MAT & AV nodal reentrant tachycardia the H/o smokers narrows down the diagnosis to MAT.",2,Atrial fibrillation,Multifocal atrial tachycardia,AV nodal re-entrant tachycardia,Monomorphic VT,Medicine,AIIMS 2019,a57f4abd-70df-4d6c-92b8-a8174bfa37da,multi,Multifocal atrial tachycardia,Multifocal atrial tachycardia,Atrial fibrillation
Which of the following is not a feature of Juvenile Idiopathic Arthritis –,"Juvenile idiopathic arthritis

Juvenile idiopathic arthritis is broad term that describes a clinically heterogenous group of arthritides of unknown cause, which begin before 16 years of age.
This term encompasses several disease categories : -

1. Juvenile rheumatoid arthritis (see previous explanations) : -
i) Pauciarticular (oligoarticular) JRA
ii) Poly-articular JRA

RA. factor (+) ye
RA factor (-) ye

iii) Systemic JRA

Juvenile psoriatic arthritis
Juvenile enthesitis related arthritis (ERA)

​Subgroups of Juvenile Idiopathic Arthritis (JIM",4,Rheumatoid nodule,Spikes of high fever,Uveitis,Raynaud's phenomenon,Pediatrics,,b8fad18b-75df-42b6-b06d-8902a10f6e16,single,Raynaud's phenomenon,All of the above,Extra-articular granulomas.
"For an unbounded amalgam restoration, what should be done before copal varnish is applied ?","The use of a dentin desensitizer over the prepared tooth structure before placing amalgam is generally recommended. 
The dentin desensitizer is rubbed onto the prepared tooth surface for 30 seconds and excess moisture is removed without desiccating the dentin.

Sturdevant's Art and Science of Operative Dentistry. Edition 6. Page: 417",1,Dentine desensitiser is applied,Smear layer is left intact,Smear layer is modified,After removal of enamel smear layer only,Dental,,44796bcd-ae11-44de-94da-6bcb502fcad6,single,Dentine desensitiser is applied,Dentin desensitizer,Clean and dry the cavity.
In CPITN index zero score means:,,3,Gingival bleeding,Grade 1 mobility of teeth,Healthy tooth,Spontaneous bleeding,Dental,,b807b86e-b050-49cb-9d49-a57279ab77b2,single,Healthy tooth,No plaque or calculus,Healthy periodontal tissue
A five year old male child presents with complaints of fever and abdominal distension. IIe is having vomiting for the last five days. On examination there are 6–8 Pus Cell/hpf in urine. WBC count shows 78% neutrophils. What is the best line of management –,,2,Send urine for culture and sensitivity and wait for results,Send urine for culture and sensitivity and start I.V. antibiotics immediately,"Send urine for culture, do an USG and start chloroquine",Radio nucleotide studies,Pediatrics,,61d50780-6165-4945-ad76-ef08e193ec57,single,Send urine for culture and sensitivity and start I.V. antibiotics immediately,Nan,Urinary tract infection (UTI) treatment: Antibiotics based on culture sensitivity. Hydration and supportive care.
"A doctor who performed the autopsy on a 26-year-old married woman, committing suicide found the cause of death to be aluminium phosphide poisoning. She was summoned in a cou of law where he willingly hides this information. This is punishable under which section?","Ans: A. IPC 193(Ref: Reaco 34/e p I 3, 33/e p392; Textbooi, on the Indian Penal Code by Krishna 1) Gaur 4/e p594; the-Indian-penal-code-pdfd74214920)Section 193 - In Indian Penal Code deals with punishment for giving false evidence.",1,IPC 193,CrPC 175,CrPC 69,IPC 189,Forensic Medicine,,1ec93a8b-e2dd-4468-bee1-74100f803516,single,IPC 193,IPC 193,Section 202 of the Indian Penal Code (IPC).
Loading dose MgSO4 (IV) to be prepared as,Loading dose of Mgso4: Total: 14 gms Ampule commercially available is: Each 2 ml of injection (50%) = 1 gm of MgSO4 4 gm I/V as a 20 % solution that is 4 ampules (8 mL=4 gm) + 12 mL NS making it 20 % solution + 10 gm I/M (5gm IM in each buttock as 50 % solution),2,4 ml 50% w/v plus 16 ml NS,8 ml 50% w/v plus 12 ml NS,12 ml 50% w/v plus 8 ml NS,16 ml 50% w/v plus 4 ml NS,Gynaecology & Obstetrics,AIIMS 2019,ab34e961-f641-4c92-9324-06da16cc52ef,single,8 ml 50% w/v plus 12 ml NS,20% solution,4 grams in 200 mL of fluid.
Apoprotein B-48 is found in,,4,VLDL,LDL,HDL,Chylomicrons,Biochemistry,,3a3e9d0e-cf13-4d9c-971f-f9d5cb902994,single,Chylomicrons,Nan,chylomicrons
"If the distribution of intra-ocular pressure (IOP) seen in 100 glaucoma patients has an average 30 mm with a SD of 1.0, what is the lower limit of the average IOP that can be expected 95% of times?","In the given question, Mean (μ) = 30 mm and SD (σ) = 1.0 mm
Thus, 95% values are contained in the range of Mean ± 2 SD (µ ± 2σ) or 30 ± 2 (1)
So, 95% values are contained in the range 30 – 2 mm and 30 + 2 mm OR between 28 and 30 mm.",2,26,28,32,259,Social & Preventive Medicine,,484de2a0-f89b-4e79-88c3-11cb2da4fcde,single,28,28 mm,28.96 mm Hg
The radiographic view of choice for diagnosing horizontally favorable and unfavorable # is:,,3,OPG,Occlusal,Lateral Oblique view,Transpharyngeal,Surgery,,17f11735-64fc-47ec-b06b-c9124e27c1cf,multi,Lateral Oblique view,Nan,Caldwell view
Which type of Hb is not affected by Rh isoimmunisation:,"“An antigen frequently found in routine antenatal screening is the Lewis group (Lea and Leb). The Lewis antigens do not cause erythroblastosis fetalis and differ from all of the other red cell antigens in that they are not synthesized in the red cell membrane but are absorbed into it.”
Fernando Arias 2/e, p 116",3,Anti C,Anti E,Anti lewis,Anti D,Gynaecology & Obstetrics,,743f2305-10ed-4d66-b6fa-911cacdf2622,single,Anti lewis,Lewis,HbF
The ETDRS cha is used for visual evaluation in diabetic patients. What does ETDRS stand for,Answer: B. Early treatment for diabetic retinopathy studyETDRS stands for Early treatment for diabetic retinopathy study,2,Extended treatment for diabetic retinopathy study,Early treatment for diabetic retinopathy study,Emergency treatment for diabetic retinopathy study,Emerging treatment for diabetic retinopathy study,Ophthalmology,,bee78f93-a09e-491f-856e-846b81e4aa5c,single,Early treatment for diabetic retinopathy study,Early treatment for diabetic retinopathy study,Early Treatment Diabetic Retinopathy Study
Working side contact means:,,1,Contact on lateral movement.,Contact on medial movement.,No contact on lateral movement.,None of the above.,Dental,,e01541a1-1639-433f-ad63-51cd9ac6dee9,multi,Contact on lateral movement.,Both,Direct interaction.
What percentage of accessory canals found in apical third of the root,,1,74%,54%,94%,60%,Dental,,cf442471-776c-434b-8186-a07315839c06,single,74%,30%,27%
