question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,chosen_answer,bert_score_f1,opa_score,opb_score,opc_score,opd_score,chosen_op
All of the following increases calcium absorption from the gut except,Ans: C. Alkaline pH in gut Factors increasing Calcium AbsorptionFactors decreasing Calcium AbsorptionVitamin DdegParathormonedegAcidic pHdegLactosedegAmino acidsdeg (protein rich diet)OxalatesdegPhytatesdegAlkaline pHdegHigh phosphatedegHigh Mg2+CaffeinesdegDietary fibersdeg,3,Phytates,Vitamin D,Alkaline pH in the gut,Protein in diet,Physiology,,7aa9be4f-bb90-4284-8816-b7360a1a444b,multi,Alkaline pH in the gut,Alkaline pH in gut,0.9740450978279114,0.7002572417259216,0.6743391752243042,0.9740450978279114,0.7732947468757629,3
A screening test is used in the same way in two similar populations but the proportion of false positive results in population A is lower than that in population B. what is the likely explanation?,,3,The specificity of the test is lower in population A,The prevalence of the disease is lower in population A,The prevalence of the disease is higher in population A,The specificity of test is higher in population A,Dental,,5bcec4d3-777e-4593-b9a0-fa97999f8481,multi,The prevalence of the disease is higher in population A,The specificity of the test is higher in population A,0.8822522163391113,0.9938895106315612,0.8745966553688049,0.8822522163391113,0.9781760573387146,1
"If untreated, percentage of mother to child transmission of HIV during delivery without intervention in a non-breast fed child is:","Answer- C. 15-30%'In the absence of any intervention, an estimated 15-30% of mothers with HIY infection will transmit the infection duringprcgnsncy and delivery. and 10-20% will transmit the infection, through breast feeding. Veical transmission of IIIV-Loccurs mostly during the intrapaum period (50-70%).'- COGDT l0/e p692",3,40-50%,10-15%,15-30%,5%,Gynaecology & Obstetrics,,7f6a2842-7816-4a42-821c-d6e066a36fb4,single,15-30%,15-30%,0.9999997615814208,0.8920589685440063,0.9067285060882568,0.9999997615814208,0.7573312520980835,3
Two palatal roots are found in what percentage of maxillary 1st molars,,1,1-4%,2-10%,0-1 %,Two palatal roots are never found,Dental,,32cb89d3-375d-4ada-873b-4ae11edd21a1,single,1-4%,2-10%,0.8711229562759399,0.8711229562759399,1.0000001192092896,0.8511017560958862,0.5943262577056885,2
The cell junctions allowing exchange of cytoplasmic molecules between two cells are called:,,1,Gap junctions,Tight junctions,Anchoring junctions,Focal junctions,Physiology,,6530c9cc-2e1e-4b4a-9f7f-de0431d05799,multi,Gap junctions,Gap junctions,0.9999998807907104,0.9999998807907104,0.8951928615570068,0.8672050833702087,0.8913754820823669,1
A middle aged male patient presents with fever and diarrhea for 1 week and acute onset pain abdomen for 6 hours. An erect abdominal X-ray was taken as shown. What is the likely diagnosis?,"Answer- D. Toxic megacolonToxic megacolon is a serious life-threatening condition that can occur in patients with ulcerative colitis, Crohn'scolitis, and infectious colitides such as pseudomembranous colitisThis decompensation results in a necrotic thin-walled bowel in which pneumatosisa can often be seen radiographically.Diagnosis:Plain abdominal radiographs are critical for diagnosing toxic megacolon and for following its course.Transverse colon is usually the most dilated >6 cm on supine films.Mutiple air-fluid levels in the colon are common; normal colonic haustlal pattern is either absent or severely disturbed.",4,Pseudomembranous colitis,Adenocarcinoma colon,Pneumatosis intestinalis,Toxic megacolon,Surgery,,90e1de32-990e-4ebe-8e95-4934cd98e601,single,Toxic megacolon,Toxic megacolon,1.0,0.7270792722702026,0.7215352654457092,0.7184494733810425,1.0,4
Difference between the skin and mucosa of cheek is:,,1,Thin lamina and non keratinized mucosa of cheek,Keratinized mucosa of cheek,Rete pegs,Thick lamina propria on skin of cheek,Dental,,b6662113-6b69-40b4-934f-2f69c1c760d6,single,Thin lamina and non keratinized mucosa of cheek,Option 1,0.615557849407196,0.615557849407196,0.6000285744667053,0.670281171798706,0.625438392162323,3
Scaphoid fracture at waist with retrograde blood supply. Which segment is most susceptible to avascular necrosis?,"Answer- A. ProximalMost common site of scaphoid fracture is Waist.Fractures can occur essentially anywhere along the scaphoid, but distribution is not even:waist of scaphoid: 70-80%proximal pole: 20%distal pole (or so-called scaphoid tubercle): 10%",1,Proximal,Distal,Middle,Scaphoid tubercle,Surgery,,e2ae0a47-f237-4f8f-9dff-5395798420e1,single,Proximal,Proximal,0.9999998211860656,0.9999998211860656,0.7371965050697327,0.6777240633964539,0.7145338654518127,1
A 12 years old boy came with complaints of 4 hypopigmented patches on back and on left arm. The patches had loss of sensation. Which of the following is the treatment for this case?,"Answer- C. Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate daysThe clinical history fits the patient into multibacillary leprosy and requires extensive multidrug therapy for 12 months.Since the patient is aged 12 years, doses are Rifompicin (450 mg) * Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days.",3,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg daily,Rifampicin (600 mg) + Dapsone (150 mg) only,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,Rifampicin (600 mg) + Dapsone (150 mg) + Clofazimine (300 mg) monthly and 50 mg daily,Skin,,ce4876e4-6a17-465e-a1c4-6353dad02e85,single,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,1.0,0.989057183265686,0.9385780096054076,1.0,0.9810648560523988,3
Uses of atropine are A/E -,"Ans. is 'd' i.e., MioticCLINICAL USES OFATROPINE Remember - ATROPAA As mydriatic - cycloplegicT --> 'Traveller's diarrhoeaR --> Rapid (early) onset mushroom poisoning0 --> Organophosphate poisoningP --> Preanaesthetic medicationA Arrhythmias (brady-arrhythmias)Atropine is also used with neostigmine in mysthenia gravis to decrease anti,nuscarinic side effects of neostigmine --> As atropine blocks muscarinic receptors, use of atropine prevents muscarinic side effects of neostigmine, while neostigmine retains its benficial effects in mysthenics which are due to nicotinic receptors.",4,Organophoshorus poisoning,Mushroom poisoning,Arrhythmia,Miotic,Pharmacology,,a1a782cf-d0f2-4645-a96d-79ef0cef3516,single,Miotic,Miotic,1.0000001192092896,0.6783334016799927,0.6698827743530273,0.645308256149292,1.0000001192092896,4
What are the cut-off values in 2 hours oral glucose tolerance test for fasting and at 1 hour and 2 hours after meals respectively?,"Ans: B. 92, 180, 153(Ref Williams 24/e p1137)Cut-off values in 2 hours oral glucose tolerance test for fasting and at 1 hour & 2 hours after meals respectively.Diagnosis of Gestational Diabetes by Oral Glucose Tolerance TestingTime 75-gm GlucoseFasting92 mg/dL5.1 mmol/L1-hour180 mg/dL10.0 mmol/L2-hours153 mg/dL8.5 mmol/L",2,"92, 182, 155","92, 180, 153","95, 180, 155","92, 180, 155",Gynaecology & Obstetrics,,46b87f53-f447-40b1-a0c0-85334ad9d9e7,single,"92, 180, 153","92, 180, 153",1.000000238418579,0.9648337364196776,1.000000238418579,0.9554994702339172,0.9810804128646852,2
You have performed a pleural tap in a patient with suspected TB. You will send the sample for all of the following studies except:,Ans: D. Albumin(Ref: Harrison 19/c p1715-1716)The most impoant diagnostic tests in pleural fluid specimen in a patient with suspected TB are GeneXpe (PCR) and ADA levels.Total protein levels and LDH levels are required to differentiate between transudative and exudative effusion according to Light's Criteria.So doing a pleural fluid albumin level separately will not be very useful.Total protein estimation should be done instead.,4,Gene Xpe,ADA,LDH,Albumin,Medicine,,2c00fc07-1a54-4b6f-b7a0-a3d2f3e4bf53,multi,Albumin,Albumin,1.0000003576278689,0.7460009455680847,0.6892083883285522,0.7488291263580322,1.0000003576278689,4
HOX gene is responsible for which malformation,,1,Polysyndactyly,Holoprosencephaly,Mayer Rokitansky syndrome,Gorlin syndrome,Pathology,,163bb472-c103-427d-af80-65e0d820cfb6,single,Polysyndactyly,Polysyndactyly,0.9999999403953552,0.9999999403953552,0.763738214969635,0.6523751020431519,0.6691452264785767,1
"Possible conversion to choriocarcinoma after hydatidiform mole is denoted by all of the following, except:-","Pre-disposing factors for development of choriocarcinoma after molar pregnancy - Rising hCG >100,000 Increased uterus size >6 cm Theca-lutein cysts * Sub urethral nodule indicates vaginal metastasis from choriocarcinoma ,it is not a predisposing factor. * Do not try to biopsy the sub urethral nodule it will result in torrential hemorrhage.",4,Rising hCG,More Theca lutein cysts,Increase uterus size,Sub urethral nodule,Gynaecology & Obstetrics,AIIMS 2018,bc8e9ed4-81fd-4c8e-9381-ae6c4d193066,multi,Sub urethral nodule,Sub urethral nodule,0.9999999403953552,0.6913004517555237,0.7370219826698303,0.7329218983650208,0.9999999403953552,4
Lateral pharyngeal space is not connected directly by:,,1,Buccal space,Sublingual space,Submandibular space,Retropharyngeal space,Surgery,,2066f9f0-3eb8-4f40-8ca3-39406b885674,single,Buccal space,Buccal space,0.9999998807907104,0.9999998807907104,0.796218752861023,0.7794028520584106,0.7954086065292358,1
On abdominal ultrasound gallbladder shows diffuse wall thickening with hyperechoic nodules at neck and comet tail aifacts. The most likely diagnosis will be:,"Ans.A. AdenomyomatosisAdenomyomatosis is a benign condition characterized by hyperplastic changes of unknown etiology involving the GB wall.It causes overgrowth of the mucosa, thickening of muscular wall, and formation of intramural diveicula or sinus tracts termed as Aschoff-Rokitansky sinuses.Investigations-USG- The presence of cholesterol crystals in these sinuses can result in ""diamond ring sign"", ""V-shaped"", or ""comet-tail"" aifacts on USG.Treatment- Cholecystectomy is indicated in symptomatic adenomyomatosis or when cholelithiasis is present.",1,Adenomyomatosis,Adenocarcinoma of gallbladder,Xanthogranulomatous cholecystitis,Cholesterol crystals,Surgery,,82e2995c-8c88-47f9-b3d4-bcf04355a688,multi,Adenomyomatosis,Adenomyomatosis,0.9999997615814208,0.999999701976776,0.7889634966850281,0.7391567826271057,0.6890236139297485,1
"p' value is 0.00, then",,1,Results are true of 99.9% of population,Test is not significant,1% of significance,There is no co-relation,Dental,,76422943-32a6-4fda-b0b2-7cac248bb79f,multi,Results are true of 99.9% of population,Results are true of 99.9% of population,0.9999999403953552,0.9999999403953552,0.7002179622650146,0.7038497924804688,0.6079356670379639,1
"The amino acid, which is used in the estimation of collagen is:",,1,Hydroxyproline,Proline,Lysine,Glycine,Biochemistry,,1f473717-d2b8-489e-969e-be0de6c30e86,single,Hydroxyproline,Hydroxyproline,1.0,1.0,0.7551535367965698,0.7257041335105896,0.7722467184066772,1
"A child with Down's syndrome has Moon facies, retarded mentally and which of the facial characteristics:",,4,Maxillary prognathism,Mandibular retrognathia,Mandibular prognathism,Maxillary hypoplasia,Pathology,,0113e4a7-b3a0-43f7-a30f-4e144fbac764,multi,Maxillary hypoplasia,Maxillary prognathism,0.8236262798309326,0.9999998807907104,0.8625455498695374,0.9094890356063844,0.8236262798309326,1
Best Age to sta bone mineral density test in female.,Ans.d.After 65 yearsNOF recommends:Bone density test :In woman age 65 or older.In man age 70 or older.,4,After 50 years,After 55 years,After 60 years,After 65 years,Gynaecology & Obstetrics,,95deaff5-dc0b-42a7-b257-573f3de4c88d,single,After 65 years,After 65 years,1.000000238418579,0.963292956352234,0.9722483158111572,0.9758690595626832,1.000000238418579,4
Haddon matrix is related to:,Ans: B. Communicable diseasesHaddon matrix:Related to injury prevention.Most commonly used paradigm in injury prevention field.,2,Injury prevention,Communicable diseases,Maternal and child moality,Hypeensive disorders,Social & Preventive Medicine,,1450ca65-dcd0-49a1-bb7d-b633740c3436,single,Communicable diseases,Communicable diseases,0.9999998807907104,0.7107241749763489,0.9999998807907104,0.6758835911750793,0.7904902696609497,2
Which of the following marked arrow represent lateral semicircular canal during coical mastoidectomy:,"A - Incus, B - Facial nerve, C - lateral semicircular canal, D - Chorda tympani.",3,A,B,C,D,ENT,AIIMS 2017,afd502ff-b700-4ecf-acec-f849331dd1ed,single,C,C,1.0000001192092896,0.824552595615387,0.8498413562774658,1.0000001192092896,0.857942521572113,3
Expected surgical procedure most frequently indicated for odontogenic cysts is:,,4,Incision and drainage,Sclerosing solution,Marsupialisation,Enucleation,Surgery,,a3912f88-1e01-46ed-9f13-544c1a36fbb5,single,Enucleation,Incision and drainage,0.7027312517166138,0.9999998211860656,0.7438173890113831,0.6523255705833435,0.7027312517166138,1
"A boy complains of bleeding gums, swollen, Joints with hemorrhage into joints. His paternal and maternal uncle complains of same problem. It is due to deficiency of factor:",,1,VIII,IX,X,VI,Pathology,,775ae087-72e3-45fb-9b1d-e4a74bddc1c1,single,VIII,VIII,1.000000238418579,1.000000238418579,0.8943881988525391,0.7532024383544922,0.8311540484428406,1
Deepest layer of deep cervical fascia is,"Deep cervical fascia, also known as fascia colli is condensed to form 6 layers.

Investing layer.
Pretracheal layer.
Prevertebral layer.
Carotid sheath.
Buccopharyngeal fascia.
Pharyngobasilar fascia.

Prevertebral fascia:

It is the deepest layer of deep cervical fascia.
It lies in front of prevertebral muscles and forms the floor of posterior triangle of neck.
It is separated from pharynx and buccopharyngeal fascia by retropharyngeal space.",1,Prevertebral,Carotid sheath,Pretracheal,Temporal,Anatomy,,c7dddaf3-1c36-425d-8208-07125d469486,single,Prevertebral,Prevertebral,1.0,1.0,0.7263239622116089,0.8116908073425293,0.6709135174751282,1
"In the formula for urea clearance, C = U x V/P, what does U stands for:",Ans: B. Urinary concentration in mg/ml(Ref: Ganong 25/p p676. 21/c p678)In given formula for measuring GFR:C = Clearance of the substanceU = Urinary concentration of the substance in mg/mlP = Plasma concentration of the substance in mg/mlV = Volume of urine,2,Urinary concentration in g/24 hour,Urinary concentration in mg/ml,Urine osmolarity,Urine volume per minute,Physiology,,3513f98e-19a9-4dfd-8f49-1e8514c3907c,single,Urinary concentration in mg/ml,Urinary concentration in mg/ml,0.9999999403953552,0.9119540452957152,0.9999999403953552,0.7444711923599243,0.7830322980880737,2
Trisodium phosphate in alginate acts as:,,1,Retarder,Reactor,Accelerator,Plasticizer,Dental,,aa1d43f7-96e9-46b0-9795-a78bcc1f064e,single,Retarder,Accelerator,0.7283796072006226,0.7283796072006226,0.8331125974655151,1.000000238418579,0.765030562877655,3
"For measuring hardness of Co-Cr alloy, which hardness test is used?","The Vicat apparatus is commonly used to measure the initial setting time of gypsum products. 
A method for the measurement of ductility is known as the cold bend test.
Rockwell Hardness Number (RHN) Like the Brinell hardness test, a steel ball or a conical diamond point is used. However, instead of measuring the diameter of the impression, the depth is measured directly by a dial gauge on the instrument. 

Application: The Rockwell test has a wider application for materials, since Brinell test is unsuitable for brittle materials as well as plastic materials.
Ref- Mannapallil BASIC DENTAL MATERIALS  P:24",4,Vicat apparatus,Cold bend,Heat and cold bend,Rockwell hardness test,Dental,,56afd089-38a1-40c8-ad6c-fe369383198b,multi,Rockwell hardness test,Rockwell hardness test,1.0000001192092896,0.7241569757461548,0.7094078660011292,0.7131906747817993,1.0000001192092896,4
"A patient presented with intermittent fever, no weight loss, no anorexia, but with a retroperitoneal mass. Peripheral smear findings were normal. Gross & microscopy of the mass is given. What's the diagnosis?","Onion skin appearance of lymph node is characteristic for Castleman disease It is alympho proliferative disorder. It has 2 variants: Unicentric Has 2 variants: 1)Highly vasculara More common , patients are asymptomatic Histology: -Twinning- Presence of two germinal centers -Onion skin pattern-Lymphocytes causes thickening of mantle zone -Lollipop lesions- Sclerosed blood vessel that infiltrate lymph node germinal center Multicentric ?Associated with immune suppression ?Presents as : Hepatomegaly Splenomegaly Night sweats Fever 2)Plasma cell varianta Less common, patients are symptomatic: - Weight loss -Night sweats -Fever Histology: Plasma cells in interfollicular areas causing hyperplasia of germinal center Lymph node architecture is distoed but LN is preserved in unicentric variant",2,NHL,Castleman disease,Angiolymphoid hyperplasia,Ig G4 disease,Pathology,AIIMS 2018,8e7413da-351b-468d-8168-961cd50bda0a,single,Castleman disease,Castleman disease,1.0,0.621604859828949,1.0,0.7005264163017273,0.7612103819847107,2
"One day after complete mouth extraction, blue black spots are seen on the neck of the patients. These spots indicate:",,2,Thrombocytopenic purpura,Postoperative ecchymosis,Impaired blood circulation,Cellulitis,Surgery,,87a02021-923f-4cd0-b93d-bfb486c0aa29,single,Postoperative ecchymosis,Thrombocytopenic purpura,0.7154820561408997,0.9999998807907104,0.7154820561408997,0.6362642645835876,0.7178728580474854,1
painful crater like 1.5 cm ulcer develops within one week on the hard palate mucosa of a 40 year old female. The most likely diagnosis is:,,4,Actinomycosis,Squamous cell carcinoma,Pleomorphic adenoma,Necrotizing sialometaplasia,Pathology,,d95b767a-8152-4636-8d0a-0da18b352aa1,single,Necrotizing sialometaplasia,Actinomycosis,0.7498465180397034,0.9999999403953552,0.7133398056030273,0.7512460947036743,0.7498465180397034,1
Most common cause of lobar hemorrhage in elderly age group ?,"Though hypeension is the most common cause of intracerebral hemorrhage, the usual site for it is putamen, thalamus, pons and cerebellum. But lobar hemorrhage in elderly is most commonly due to cerebral amyloid angiopathy, where there is amyloid deposition in the walls of cerebral aeries following aeriolar degeneration.",4,Hypeension,Vascular malformation,Coagulopathy,Amyloid angiopathy,Medicine,AIIMS 2017,cc1da36a-147f-4b74-9015-b7640ebb7ead,single,Amyloid angiopathy,Amyloid angiopathy,0.9999998807907104,0.6949582099914551,0.7620143294334412,0.7524652481079102,0.9999998807907104,4
Which of the following is least likely to cause infective endocarditis:,,3,Staphylococcus albus.,Streptococcus faecalis.,Salmonella typhi.,Pseudomonas aeruginosa.,Medicine,,035a6e66-f990-4d45-abd9-9855059b027a,single,Salmonella typhi.,Staphylococcus albus,0.7299636602401733,0.9698554277420044,0.8174449801445007,0.7299636602401733,0.7177777290344238,1
Platelet derived growth factor is released in vessels from:,"Platelet activation:
  The adherent platelets get activated, undergo a shape change and degranulate. The granules in the platelets can be

Alpha  granules  having  P-selectin,  fibrinogen,  fibronectin,  factors  V  and  VIII, platelet  factor  4,  platelet-derived  growth  factor,  and  transforming  growth factor-β.
Delta  granules  or  delta  bodies  having  ADP,  ATP,  ionized  calcium,  histamine, serotonin, and epinephrine.",4,Endothelial cells,Fibroblasts,Macrophages,Alpha granules,Pathology,,b69ced59-82cc-43b7-b3b8-829f8ee8930b,single,Alpha granules,Alpha granules,1.0,0.735211968421936,0.7502958178520203,0.7373761534690857,1.0,4
Down syndrome is caused by all except:,"Three cytogenetic variants cause Down syndrome: 

Trisomy 21
Chromosomal translocation
Mosaicism

Trisomy 21 accounts for nearly 95% of all patients with Down syndrome.
It is now generally accepted that there are at least three forms of Down syndrome: 

One in which there is the typical trisomy 21 with 47 chromosomes (accounting for about 95% of cases)
Another termed the translocation type, in which there appear to be only 46 chromosomes, although the extra chromosome material of number 21 is translocated to another chromosome of G or D group, either 21/22 translocation or 21/21 translocation (about 3% of cases)
Another that is the result of chromosomal mosaicism (about 2%)

Rajendran R. Shafer's textbook of oral pathology. Edition 7. Page 729",4,Trisomy of 21 chromosome,Mosaicism of 21 chromosome,"Robertsonian translocation of 21.21, 21.18",Deletion of 21,Pathology,,7f982d0f-5ee4-4069-b03b-dab4d9130c37,multi,Deletion of 21,Deletion of 21,1.0,0.7935738563537598,0.7977901101112366,0.7573338747024536,1.0,4
Which of the following is the most common organism found in retreatment cases of periapical abscess?,"PERSISTENT APICAL PERIODONTITIS

It is post-treatment apical periodontitis in an endodontically treated tooth (re-treatment case).
Enterococcus faecalis is found the most consistently reported organism in persistent apical periodontitis.",1,E. faecalis,Trepenoma denticola,S. mutans,Actinomyces,Dental,,53925f03-9145-4ca4-97ea-2e9f154fd36c,single,E. faecalis,E. faecalis,0.9999998211860656,0.9999998211860656,0.7225517630577087,0.7933976054191589,0.6637492179870605,1
Maximum chances of fracture are present when which of these forces are present on a bone:,,1,Tension,Torsion,Compression,Either of the three,Surgery,,be3afdad-0f5b-4443-8293-746222d73844,single,Tension,All of the above,0.6536232233047485,0.6536232233047485,0.6222267150878906,0.6342384815216064,0.7423458099365234,4
Phrenic nerve chiefly supplies?,,2,Stomach,Diaphragm,Oesophagus,Ileum,Anatomy,,9baccdab-543d-4508-8192-493ac564b258,single,Diaphragm,Option 3: Oesophagus,0.6856440901756287,0.6575044989585876,0.6856440901756287,0.8913497924804688,0.6866028308868408,3
Regional Odontodysplasia is most common in,,4,Mandibular premolar,Mandibular canine,Mandibular third molar,Maxillary central incisor,Pathology,,aac3f7a9-9821-4f19-a131-0f6661d13562,single,Maxillary central incisor,Mandibular premolar,0.7849432229995728,0.9999998807907104,0.9107630848884584,0.8860628604888916,0.7849432229995728,1
During surgical excision of the parotid gland the following structures may be damaged:,,2,"Lesser occipital nerve, hypoglossal nerve, chorda tympani",Facial nerve and auriculotemporal nerve,Submandibular duct,Cervical fascia,Surgery,,7bb79319-a8ea-4023-89bb-2423f53fc121,single,Facial nerve and auriculotemporal nerve,Option 2: Facial nerve and auriculotemporal nerve,0.944470763206482,0.7949709892272949,0.944470763206482,0.7363969683647156,0.7078513503074646,2
A dye injected in to space to see the joint is known as:,,1,Arthrography,Arthroscopy,Arthroplasty,Orthopantogram,Surgery,,dda876e4-c6ba-4136-bf0c-cc5dac90a7a4,single,Arthrography,Arthrography,0.9999998211860656,0.9999998211860656,0.8600799441337585,0.8362060785293579,0.7730807662010193,1
An elderly male presents with T3NO laryngeal carcinoma. What would be the management?,Ans. b. Concurrent chemoradiotherapyAn elderly male presents with T3N0 laryngeal carcinoma. Treatment is concunent chemoradiotherapy.'Advanced laryngeal cancers are ofien treated by combining radiation with concurrent chemotherapy for larynxpresemation and total laryngectomy for bulky T4 disease or salvage.''Concurrent radiation therapy plus Cisplatin resulted in a statistically higher percentage ofpatients with an intact larynxat I0 years.',2,Neoadjuvant chemotherapy followed by radiotherapy,Concurrent chemoradiotherapy,Radical radiotherapy followed by chemotherapy,Radical radiotherapy without chemotherapy,ENT,,a86db080-2d2a-4eb2-abb0-11de110167f8,single,Concurrent chemoradiotherapy,Concurrent chemoradiotherapy,0.9999998807907104,0.8125526905059814,0.9999998807907104,0.8242135047912598,0.8352102041244507,2
Which is the only anterior teeth with Mesiodistal size more than Cervicoincisal dimension,,3,Deciduous lower central incisor,Permanent lower central incisor,Deciduous upper lateral incisor,Permanent upper lateral incisor,Dental,,0bf8959c-a410-42df-bde1-678d021599d9,single,Deciduous upper lateral incisor,Deciduous lower central incisor,0.966637372970581,1.0000001192092896,0.967202603816986,0.966637372970581,0.936575174331665,1
Which of the following abnormalities is commonly seen in a fetus with congenital CMV infection:,"Manifestation of congenital CMV infection:

Still birth
Microcephaly
Choroidoretinitis 
Deafness
Hemolytic anemia (Blood dyscrasias simply stands for any hematological disorder)
Pneumonitis
Thrombocytopenia with petechiae and purpura
IUGR
Hepatosplenomegaly
Icterus
Mental retardation
Have intracranial calcifications",3,Colitis,Myocarditis,Blood dyscrasias,Pulmonary cyst,Gynaecology & Obstetrics,,2fad53ed-ad7b-4194-8316-7fd39b1089a4,single,Blood dyscrasias,Blood dyscrasias,1.0,0.7356742024421692,0.7461026310920715,1.0,0.7845332026481628,3
White radiating Lines can be observed in case of Lesions of,,1,Lichen planus,Erythema multiforme,Pemphigus,Leukoplakia,Pathology,,b55d9ee8-ae0e-4a10-a2a5-f8553f94abec,single,Lichen planus,Lichen planus,0.9999998807907104,0.9999998807907104,0.7445937395095825,0.7412194013595581,0.7259450554847717,1
Which among the following is not true about ankylosing spondylitis?,"Ans.B. More common in FemalesAnkylosing spondylitis is more common in males.(M:F is between 2:1 to 3:1).There is preferential involvement of entheses ( Site of attachment of ligament or tendon to the bone).TNF a plays a major role in immunopathogenesis.Sacroiliitis is often the first manifestation of ankylosing spondylitis. Synovitis, pannus, subchondral granulation tissue and marrow edema, enthesitis and chondroid differentiation are also found.",2,Enthesis is the primary site of pathology,More common in Females,TNF plays an impoant role in the pathogenesis of ankylosing spondylitis,Sacroiliitis is the earliest manifestation of ankylosing spondylitis,Surgery,,b0551251-13ff-4dba-b185-e8b5c850d656,multi,More common in Females,More common in Females,1.0,0.6607399582862854,1.0,0.6141467094421387,0.6267451643943787,2
"Cephalosporin	active	against	pseudomonas
aeruginosa",,1,Cefoperazone,Cefaclor,Ceftriaxone,Cefotaxime,Pharmacology,,1b7a2a1c-6321-4541-b649-7db8418c38da,single,Cefoperazone,Ceftriaxone,0.8452633023262024,0.8452633023262024,0.8224239945411682,1.0000001192092896,0.8224442005157471,3
The least effect on the prognosis of a periodontal disease is,,1,Suppuration from the pocket,Furcation involvement,Alveolar bone loss,Co-operation and motivation of the patient,Dental,,53b25799-4578-4b4b-aa22-5c9aa6b4f62c,single,Suppuration from the pocket,Suppuration from the pocket,1.000000238418579,1.000000238418579,0.7704136967658997,0.7129504680633545,0.7466635704040527,1
Occulomotor nerve passes through,,2,Foramen rotundum,Superior orbital fissure,Inferior orbital fissure,Foramen ovale,Anatomy,,b057a579-865e-4b5d-bd32-c859e19078c6,single,Superior orbital fissure,Foramen rotundum,0.6881442070007324,0.9999999403953552,0.6881442070007324,0.6819761991500854,0.8755189180374146,1
"A child presents to the emergency with a history of ingestion of button battery, on X-ray it was found in the stomach or duodenum. What is the next step?","Ans: B. Wait and watchRef: NBIH Button bsttery ingestion triage and treatment guideline.The management of a Button battery ingestion depends upon the anatomical site of the impacted battery.Button batteries that have cleared the stomach usually pass through the gastrointestinal tract within one week without complications.Follow-up radiographs should be performed in asymptomatic patients who have not passed the battery by 10 to l4 days, regardless ofsize or earlier if patient becomes symptomatic.",2,Endoscopic removal of battery,Wait and watch,Repeat X-ray after 5 days,Immediate laparotomy,Pediatrics,,8695d0f1-5264-4bb9-acd8-9d9b634f2b4c,multi,Wait and watch,Wait and watch,1.000000238418579,0.6090743541717529,1.000000238418579,0.644506573677063,0.6021431684494019,2
A child with tetralogy of fallot uses which of the following positions –,"The patients of TOF assume a sitting posture (squatting) as soon as they get dyspneic.
TOF is the commonest congenital lesion in which squatting is noted.",3,Supine,Prone,Squatting,Leaning forwards,Pediatrics,,08773184-d813-48bd-b8ac-fdcaab87d67c,multi,Squatting,Squatting,1.0000001192092896,0.705010712146759,0.6952661275863647,1.0000001192092896,0.767031729221344,3
True about Arrangement of hydroxyapatite crystals in Enamel rods?,,3,In center orientation of hydroxyapatite crystal is 0 degree,Orientation of hydroxyapatite crystals at periphery is 45 degree,Both,,Dental,,13843218-9b0f-452b-868b-b8d3b317730a,multi,Both,Both,1.0000007152557373,0.5744662284851074,0.5908969044685364,1.0000007152557373,0.7936570644378662,3
Predisposing clinical condition for endodontic flare up?,,3,Acute periapical abscess,Acute apical periodontitis,Asymptomatic necrotic pulp with periapical lesion,Pain and swelling since the treatment,Dental,,7a660bba-aabd-448d-9d13-38ee7837c97f,single,Asymptomatic necrotic pulp with periapical lesion,All of the above,0.5842757225036621,0.5985395908355713,0.5939467549324036,0.5842757225036621,0.6619521379470825,4
